Código;Município;Área (km²);Densidade demográfica, 2000;Distância à capital (km);Esperança de vida ao nascer, 2000;Taxa de fecundidade total, 2000;Renda per Capita, 2000;Índice de Gini, 2000;Intensidade da indigência, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Taxa bruta de freqüência à escola, 2000;Taxa de alfabetização, 2000;Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000;Populacao;QTD_TOTAL_CNPJ_SUPERMERCADO;Variacao_Populacao_1991_a_2000;Percentual_Populacao_65_anos;Percentual_Populacao_Urbana;Populacao por Supermercados;cluster
430460;Canoas (RS);131.1;2331.9;13.52416787;71.39;2.28;353.17;0.53;58.91;44.7;0.815;84.84;95.64;6.87;306093;1055.0;0.1368018777529358;0.0572832439814043;1.0;290.1355450236967;0
351060;Carapicuíba (SP);35.0;9819.1;20.56375348;71.35;2.02;275.56;0.48;80.62;51.49;0.793;81.58;93.73;6.0;344596;491.0;0.2148162771759247;0.0305894438705034;1.0;701.8248472505092;0
320130;Cariacica (ES);285.8;1133.0;10.50675793;67.16;2.21;215.2;0.52;55.89;43.4;0.75;80.65;91.31;5.72;324285;901.0;0.1819818703368239;0.0452811570069537;0.9651386897327968;359.9167591564928;0
260410;Caruaru (PE);932.0;271.8;123.10058;67.36;2.22;209.76;0.58;48.61;43.14;0.713;75.32;77.41;5.15;253634;428.0;0.1868861050927248;0.0637808811121537;0.8571682030011749;592.6028037383178;3
410480;Cascavel (PR);2065.8;118.6;423.7437588;69.6;2.27;347.01;0.59;58.93;42.78;0.81;95.1;93.01;6.48;245369;887.0;0.2680437411499623;0.0405878493208188;0.9319555445064373;276.62795941375424;2
150240;Castanhal (PA);1029.4;130.6;67.02381438;70.63;2.69;162.25;0.57;43.95;42.05;0.746;81.61;87.29;5.6;134496;252.0;0.3176710329084657;0.0387520818463002;0.9015063645015464;533.7142857142857;3
351110;Catanduva (SP);293.0;361.0;359.7142043;75.38;2.11;385.1;0.53;49.7;39.76;0.833;82.51;92.4;6.41;105847;272.0;0.1659855252866853;0.0864455298685839;0.9850822413483612;389.1433823529412;1
230370;Caucaia (CE);1195.6;209.3;12.65554087;70.83;3.02;129.23;0.56;47.64;48.94;0.721;82.55;81.02;5.1;250479;477.0;0.5171442588992059;0.0372286698685318;0.9026225751460202;525.1132075471698;3
210300;Caxias (MA);5313.2;26.3;279.2894995;59.87;3.04;104.0;0.62;51.85;53.7;0.614;81.35;66.07;3.67;139756;315.0;0.0640374586013932;0.0641188929276739;0.7404691032943129;443.6698412698413;3
430510;Caxias do Sul (RS);1588.4;226.8;96.24501617;74.1;2.01;490.65;0.51;59.89;40.61;0.857;90.72;96.35;7.23;360419;826.0;0.2388725616567844;0.0565064549871122;0.9250095028286522;436.3426150121065;2
